id,company_name,industry,country,employee_count,annual_revenue_million,profit_margin_percent,founded_year,customer_count,market_rating,created_date,region
93,RetailHub_93,Retail,India,889,95.59,7.84,1996,71545,3.8,05-03-2024,Asia
94,BuildWorks_94,Manufacturing,Germany,2635,606.1,18.79,2016,57655,3.2,25-10-2024,Europe
95,MediCorp_95,Healthcare,Canada,1397,219.07,38.67,2013,2900,0.8,23-12-2024,North America
96,FinTrust_96,Finance,USA,2109,803.75,35.65,1993,45513,2,17-01-2025,North America
97,TechNova_97,Technology,India,489,1041.66,24.64,2014,67235,3.8,03-02-2026,Asia
98,RetailHub_98,Retail,Germany,1714,829.82,12.36,2005,44287,2.7,13-12-2024,Europe
99,BuildWorks_99,Manufacturing,Canada,2138,126.05,18.08,1992,90566,3,15-05-2025,North America
100,MediCorp_100,Healthcare,USA,3926,534.76,27.87,2012,55558,1,08-12-2025,North America
101,FinTrust_101,Finance,India,1871,217.8,34.21,2004,19132,4.6,23-10-2025,Asia
102,TechNova_102,Technology,Germany,3625,604.39,36.55,2006,87006,0.4,26-02-2024,Europe
103,RetailHub_103,Retail,Canada,3570,973.58,10.59,2015,82328,1.9,02-12-2025,North America
104,BuildWorks_104,Manufacturing,USA,3267,923.18,7.13,2005,22548,0.4,08-08-2024,North America
105,MediCorp_105,Healthcare,India,3013,643.86,6.67,1995,54198,4,16-07-2025,Asia
106,FinTrust_106,Finance,Germany,1061,974.18,9.16,1991,21331,4.6,13-05-2025,Europe
107,TechNova_107,Technology,Canada,926,564.12,21.47,1991,74557,0.4,01-01-2025,North America
108,RetailHub_108,Retail,USA,4562,208.32,18.77,1991,58698,4.8,25-08-2025,North America
109,BuildWorks_109,Manufacturing,India,3325,466.84,39.78,1992,39278,3.2,12-10-2024,Asia
110,MediCorp_110,Healthcare,Germany,3376,725.13,22.24,2002,79693,3.6,07-06-2025,Europe
111,FinTrust_111,Finance,Canada,4934,492.93,26.27,2008,95470,2.3,26-02-2024,North America
112,TechNova_112,Technology,USA,3425,197.95,6.59,2007,93084,0.6,03-05-2024,North America
113,RetailHub_113,Retail,India,4956,444.71,19.99,2002,42290,3.8,12-02-2025,Asia
114,BuildWorks_114,Manufacturing,Germany,4219,77.5,40.87,2008,30612,1.7,10-05-2024,Europe
115,MediCorp_115,Healthcare,Canada,2808,923.74,11.7,2007,63702,0.3,06-03-2025,North America
116,FinTrust_116,Finance,USA,3785,842.87,41.71,2003,21858,4.4,19-06-2024,North America
117,TechNova_117,Technology,India,1254,794.58,38.27,1998,85570,4,11-03-2024,Asia
118,RetailHub_118,Retail,Germany,4701,919.81,6.89,2005,72922,0.7,25-07-2025,Europe
119,BuildWorks_119,Manufacturing,Canada,2894,311.24,39.7,2017,53168,4.1,07-11-2024,North America
120,MediCorp_120,Healthcare,USA,2723,102.96,10.36,2001,98684,1.5,02-10-2025,North America
121,FinTrust_121,Finance,India,3669,240.62,37.7,2009,84875,2.9,11-06-2024,Asia
122,TechNova_122,Technology,Germany,702,393.44,36.72,2010,95169,1.6,10-04-2024,Europe
123,RetailHub_123,Retail,Canada,1497,587.48,37.48,1997,19056,2.8,21-08-2025,North America
124,BuildWorks_124,Manufacturing,USA,2975,836.55,6.36,2018,74065,4.1,09-10-2025,North America
125,MediCorp_125,Healthcare,India,1015,812.42,18.98,2010,2432,1.7,24-07-2024,Asia
126,FinTrust_126,Finance,Germany,4230,208.4,32.77,2017,92378,4.1,17-12-2024,Europe
127,TechNova_127,Technology,Canada,2772,626.74,31.15,2013,16340,0,04-02-2026,North America
128,RetailHub_128,Retail,USA,4451,150.04,7.39,1999,19924,3.1,22-06-2024,North America
129,BuildWorks_129,Manufacturing,India,4370,258.82,31.22,1990,11903,2.7,16-06-2025,Asia
130,MediCorp_130,Healthcare,Germany,4215,606.62,13.89,2019,84819,5,06-10-2024,Europe
131,FinTrust_131,Finance,Canada,905,929.12,40.46,2009,93752,2.1,10-03-2024,North America
132,TechNova_132,Technology,USA,436,625.62,44.74,2018,2910,3.5,18-05-2025,North America
133,RetailHub_133,Retail,India,2216,226.1,41.51,2012,92332,2.1,13-08-2024,Asia
134,BuildWorks_134,Manufacturing,Germany,4639,117.94,12.29,2013,25638,4,28-07-2024,Europe
135,MediCorp_135,Healthcare,Canada,4435,461.1,21.51,2015,89146,0.1,27-11-2025,North America
136,FinTrust_136,Finance,USA,5038,361.9,41.69,2015,35845,3.5,14-11-2025,North America
137,TechNova_137,Technology,India,1963,787.45,41.36,2013,83388,0.6,10-08-2024,Asia
138,RetailHub_138,Retail,Germany,2526,320.14,31.05,2004,9195,4.8,05-05-2025,Europe
139,BuildWorks_139,Manufacturing,Canada,4863,105.89,22.82,2002,76402,2.3,02-11-2024,North America
140,MediCorp_140,Healthcare,USA,114,805.2,34.12,1993,21345,3.6,31-05-2024,North America
141,FinTrust_141,Finance,India,1876,229.67,43.63,2013,69828,4.9,03-05-2025,Asia
142,TechNova_142,Technology,Germany,1193,732.1,38.3,2002,86977,1.1,25-05-2024,Europe
143,RetailHub_143,Retail,Canada,4110,511.05,23.19,2017,63667,1.7,16-09-2024,North America
144,BuildWorks_144,Manufacturing,USA,3409,480.48,19.13,2010,11922,0.4,10-05-2024,North America
145,MediCorp_145,Healthcare,India,3143,494.58,42.62,1990,27368,2.8,13-12-2024,Asia
146,FinTrust_146,Finance,Germany,1992,810.09,29.95,2006,48616,1,27-01-2025,Europe
147,TechNova_147,Technology,Canada,870,311.96,14.31,1993,41150,2,15-08-2025,North America
148,RetailHub_148,Retail,USA,1203,583.27,29.25,2013,39537,4.1,21-11-2024,North America
149,BuildWorks_149,Manufacturing,India,1044,252.49,5.6,1994,38798,0.7,29-08-2024,Asia
150,MediCorp_150,Healthcare,Germany,2508,177.86,38.54,2004,66273,1.1,14-06-2024,Europe
151,FinTrust_151,Finance,Canada,411,721.65,26.74,1992,95964,3.8,11-03-2025,North America
152,TechNova_152,Technology,USA,1549,455.39,28.13,1996,32569,3.9,11-03-2024,North America
153,RetailHub_153,Retail,India,2293,946.85,41.59,1999,6633,3,25-01-2026,Asia
154,BuildWorks_154,Manufacturing,Germany,830,1003.95,33.82,2009,72298,1.5,08-02-2024,Europe
155,MediCorp_155,Healthcare,Canada,2082,873.08,37.19,2011,76117,3,08-10-2025,North America
156,FinTrust_156,Finance,USA,2825,535.73,35.85,2017,39889,4.2,18-01-2025,North America
157,TechNova_157,Technology,India,1621,193.95,20.13,1991,23933,4.3,31-01-2025,Asia
158,RetailHub_158,Retail,Germany,885,809,6.5,2012,100486,3,19-02-2025,Europe
159,BuildWorks_159,Manufacturing,Canada,5085,113.43,39.3,2003,44943,3.8,12-09-2024,North America
160,MediCorp_160,Healthcare,USA,4327,663.41,11.59,2006,9475,3.4,01-03-2025,North America
161,FinTrust_161,Finance,India,4296,149.1,28.99,1992,19263,1.6,25-02-2024,Asia
162,TechNova_162,Technology,Germany,270,761.88,37.08,1999,87922,2.1,09-07-2024,Europe
163,RetailHub_163,Retail,Canada,675,934,13.52,2000,23286,1.3,17-03-2025,North America
164,BuildWorks_164,Manufacturing,USA,935,714.26,14.98,2017,53271,5,26-11-2025,North America
165,MediCorp_165,Healthcare,India,486,399.34,35.5,2012,57461,2.8,19-01-2025,Asia
166,FinTrust_166,Finance,Germany,4407,816.52,39.15,2011,8297,4.4,07-01-2024,Europe
167,TechNova_167,Technology,Canada,2042,593.49,17.21,2005,62260,2.9,13-08-2025,North America
168,RetailHub_168,Retail,USA,2421,495.07,37.28,2008,43062,5,01-08-2025,North America
169,BuildWorks_169,Manufacturing,India,3723,235.52,28.94,2019,53768,0.9,08-07-2025,Asia
170,MediCorp_170,Healthcare,Germany,1485,203.08,23.53,1994,99080,1.9,03-11-2025,Europe
171,FinTrust_171,Finance,Canada,1452,718.44,7.48,2013,38105,3.4,29-10-2024,North America
172,TechNova_172,Technology,USA,1397,479.35,34.7,1995,65606,0.4,13-10-2025,North America
173,RetailHub_173,Retail,India,1121,561.46,42.51,2016,39788,0.5,26-03-2025,Asia
174,BuildWorks_174,Manufacturing,Germany,3031,1036.15,16.22,2003,5113,3.5,09-02-2025,Europe
175,MediCorp_175,Healthcare,Canada,1304,966.9,13.61,2017,92385,3.7,26-03-2025,North America
176,FinTrust_176,Finance,USA,234,93.53,6.94,2009,91237,2.7,31-01-2025,North America
177,TechNova_177,Technology,India,5088,650.06,34.72,2017,6525,1.1,07-02-2025,Asia
178,RetailHub_178,Retail,Germany,4542,1039.83,14.77,2009,82753,0.3,29-10-2024,Europe
179,BuildWorks_179,Manufacturing,Canada,111,305.75,26.05,2004,91421,2.1,28-09-2024,North America
180,MediCorp_180,Healthcare,USA,2485,653.68,24.02,1990,94551,3.5,22-02-2025,North America
181,FinTrust_181,Finance,India,4699,609.71,35.57,2012,77118,1,18-10-2024,Asia
182,TechNova_182,Technology,Germany,4086,261.29,35.23,2017,67420,3.7,16-02-2026,Europe
183,RetailHub_183,Retail,Canada,381,104.62,29.23,1995,77206,4.7,22-07-2024,North America
184,BuildWorks_184,Manufacturing,USA,2519,634.65,6.41,1995,93772,0.2,04-02-2025,North America
185,MediCorp_185,Healthcare,India,1012,159.56,43.42,2018,75874,1.6,22-01-2025,Asia
186,FinTrust_186,Finance,Germany,4016,320.16,7.59,2002,67374,2.2,29-03-2024,Europe
187,TechNova_187,Technology,Canada,1800,192.31,40.74,1992,7134,3.1,06-03-2025,North America
188,RetailHub_188,Retail,USA,2162,739.91,28.59,2015,20923,2,25-01-2025,North America
189,BuildWorks_189,Manufacturing,India,423,1015.31,10.41,2003,43599,4.1,24-02-2026,Asia
190,MediCorp_190,Healthcare,Germany,1768,472.55,12.69,1992,12341,2.3,29-12-2024,Europe
191,FinTrust_191,Finance,Canada,4138,276.99,42.8,1994,4049,4.9,11-04-2025,North America
192,TechNova_192,Technology,USA,3197,196.97,15.5,2015,16584,2.6,02-08-2024,North America
193,RetailHub_193,Retail,India,4180,64.72,42.54,1994,55387,4.9,07-09-2024,Asia
194,BuildWorks_194,Manufacturing,Germany,3454,177.8,9.64,1990,72063,0.1,06-07-2024,Europe
195,MediCorp_195,Healthcare,Canada,4579,350.16,16.29,2007,82132,1.8,11-05-2024,North America
196,FinTrust_196,Finance,USA,3466,639.19,11.23,1994,41775,2.8,14-03-2025,North America
197,TechNova_197,Technology,India,3775,767.58,38.83,2012,69726,1.9,22-03-2025,Asia
198,RetailHub_198,Retail,Germany,3030,556.6,20.64,2014,99324,0.6,09-08-2025,Europe
199,BuildWorks_199,Manufacturing,Canada,1007,531.61,25.8,2002,47409,4.5,29-01-2024,North America
200,MediCorp_200,Healthcare,USA,1090,865.29,28.61,1990,92444,3.5,28-07-2024,North America
201,FinTrust_201,Finance,India,4077,877.46,44.46,2019,8621,2.5,18-06-2024,Asia
202,TechNova_202,Technology,Germany,1231,417.76,41.6,1993,18040,2.4,29-01-2025,Europe
203,RetailHub_203,Retail,Canada,2065,686.83,42.18,2012,17831,0.6,14-07-2024,North America
204,BuildWorks_204,Manufacturing,USA,4912,486.23,36.82,2010,15664,1.3,06-04-2024,North America
205,MediCorp_205,Healthcare,India,794,424.91,43.33,1996,61086,1.5,09-03-2024,Asia
206,FinTrust_206,Finance,Germany,3942,622.62,26.74,2012,45671,4.8,06-06-2024,Europe
207,TechNova_207,Technology,Canada,4608,189.71,43.74,1999,34427,3,25-03-2025,North America
208,RetailHub_208,Retail,USA,3043,263.05,35.86,2010,70313,3.1,06-02-2026,North America
209,BuildWorks_209,Manufacturing,India,2917,719.83,31.58,2004,58717,3.2,19-06-2024,Asia
210,MediCorp_210,Healthcare,Germany,709,585.42,43.61,2011,75946,1.6,25-06-2025,Europe
211,FinTrust_211,Finance,Canada,1777,151.5,32.49,1995,74205,4,30-11-2025,North America
212,TechNova_212,Technology,USA,138,646,11.48,2014,45531,1.4,08-04-2024,North America
213,RetailHub_213,Retail,India,4081,891.9,8.2,2005,38843,3.3,06-11-2025,Asia
214,BuildWorks_214,Manufacturing,Germany,1171,653.38,18.2,2001,63676,3.5,01-11-2025,Europe
215,MediCorp_215,Healthcare,Canada,1708,315.94,22.99,1993,30679,2.5,08-07-2025,North America
216,FinTrust_216,Finance,USA,1535,649.25,16.5,1990,82932,4.6,03-02-2025,North America
217,TechNova_217,Technology,India,1125,955.1,33.21,1992,20574,3.9,07-03-2025,Asia
218,RetailHub_218,Retail,Germany,4146,557.02,42.27,2007,99655,1.2,02-11-2025,Europe
219,BuildWorks_219,Manufacturing,Canada,1337,660,18.25,2006,58653,2.4,25-02-2024,North America
220,MediCorp_220,Healthcare,USA,3684,867.18,41.71,2007,63662,2.2,02-05-2024,North America
221,FinTrust_221,Finance,India,721,804.08,17.51,2016,69416,3.5,10-02-2026,Asia
222,TechNova_222,Technology,Germany,3501,864.95,8.42,2004,64550,1.3,01-05-2024,Europe
223,RetailHub_223,Retail,Canada,5096,1015.62,11.1,2004,7920,3.5,27-06-2025,North America
224,BuildWorks_224,Manufacturing,USA,2550,194.97,22.73,2006,93676,1.1,04-02-2024,North America
225,MediCorp_225,Healthcare,India,2851,605.59,17.86,2007,36658,0.3,15-05-2025,Asia
226,FinTrust_226,Finance,Germany,4019,279.83,11.72,2008,5033,4.2,08-02-2026,Europe
227,TechNova_227,Technology,Canada,2382,999.98,19.02,2003,63388,1.6,04-05-2024,North America
228,RetailHub_228,Retail,USA,1110,712.11,13.26,2012,55503,0.4,27-01-2025,North America
229,BuildWorks_229,Manufacturing,India,457,887.76,38.47,2007,57301,0.2,23-01-2025,Asia
230,MediCorp_230,Healthcare,Germany,4549,211.2,35.05,2001,599,4.5,25-07-2025,Europe
231,FinTrust_231,Finance,Canada,1704,610.71,6.39,2016,49335,1.6,26-04-2024,North America
232,TechNova_232,Technology,USA,3693,265.97,28.35,1996,77339,4.2,09-11-2025,North America
233,RetailHub_233,Retail,India,2278,878.84,20.2,2014,37161,4.4,06-06-2024,Asia
234,BuildWorks_234,Manufacturing,Germany,2593,163.05,5.37,2010,49845,3,21-03-2025,Europe
235,MediCorp_235,Healthcare,Canada,3077,611.87,41.2,1990,7220,3.1,16-07-2025,North America
236,FinTrust_236,Finance,USA,3548,188.07,5.23,2006,69348,0.3,04-03-2025,North America
237,TechNova_237,Technology,India,1574,109.92,33.87,2019,93188,4.2,21-04-2025,Asia
238,RetailHub_238,Retail,Germany,1158,865.41,41.46,2006,85244,4.2,24-08-2025,Europe
239,BuildWorks_239,Manufacturing,Canada,2697,504.12,17.48,2014,70640,3.5,11-10-2024,North America
240,MediCorp_240,Healthcare,USA,1105,894.32,38.75,2010,46659,1.5,22-12-2025,North America
241,FinTrust_241,Finance,India,3266,780.64,20.32,2011,20787,4,10-05-2025,Asia
242,TechNova_242,Technology,Germany,1805,346.77,31.9,2000,25709,3.7,11-09-2025,Europe
243,RetailHub_243,Retail,Canada,4273,1012.54,12.37,2005,17242,3.5,10-07-2024,North America
244,BuildWorks_244,Manufacturing,USA,1583,557.56,28.47,2010,11973,4.1,04-08-2025,North America
245,MediCorp_245,Healthcare,India,4105,705.3,9.7,2005,59128,1,24-09-2025,Asia
246,FinTrust_246,Finance,Germany,1698,506.93,20.11,2018,86071,3.2,28-01-2024,Europe
247,TechNova_247,Technology,Canada,4392,965.46,26.01,2018,93293,0.7,25-02-2024,North America
248,RetailHub_248,Retail,USA,2951,237.29,22.5,2002,36026,4.2,09-09-2025,North America
249,BuildWorks_249,Manufacturing,India,4880,347.84,42.43,2011,38437,2.3,18-01-2024,Asia
250,MediCorp_250,Healthcare,Germany,3346,868.84,15.42,2017,69465,3.4,13-02-2026,Europe
251,FinTrust_251,Finance,Canada,835,404.73,23.36,2009,17692,0.6,05-01-2025,North America
252,TechNova_252,Technology,USA,4413,223.04,41.93,1993,19242,3.5,08-06-2025,North America
253,RetailHub_253,Retail,India,2687,310.87,28.62,2014,98512,1.3,09-06-2025,Asia
254,BuildWorks_254,Manufacturing,Germany,2498,380.72,7.26,2000,96750,4.5,21-08-2025,Europe
255,MediCorp_255,Healthcare,Canada,4920,855.45,25.89,2006,13159,2.1,20-12-2024,North America
256,FinTrust_256,Finance,USA,4405,56.72,36.49,2007,100433,0.6,21-10-2025,North America
257,TechNova_257,Technology,India,380,248.58,14.56,2006,79050,0.7,07-01-2026,Asia
258,RetailHub_258,Retail,Germany,402,189.16,40.79,2019,19127,2,20-10-2024,Europe
259,BuildWorks_259,Manufacturing,Canada,2202,1034.17,17.39,1991,59530,1.8,29-12-2024,North America
260,MediCorp_260,Healthcare,USA,1541,610.36,24.69,1991,6311,5,27-12-2025,North America
261,FinTrust_261,Finance,India,2389,972.41,17.12,1996,93727,1.2,03-11-2024,Asia
262,TechNova_262,Technology,Germany,878,631.18,25.37,1997,16265,2.2,14-11-2024,Europe
263,RetailHub_263,Retail,Canada,641,87.16,17.32,2012,35035,0.4,28-11-2024,North America
264,BuildWorks_264,Manufacturing,USA,3821,716.14,9.56,2010,98501,1.7,13-10-2024,North America
265,MediCorp_265,Healthcare,India,2252,705.36,29.42,2008,82143,2.6,29-09-2024,Asia
266,FinTrust_266,Finance,Germany,5004,677.31,8.96,2001,20264,2.5,08-05-2025,Europe
267,TechNova_267,Technology,Canada,4956,324.45,25.12,2006,94832,2.7,08-09-2025,North America
268,RetailHub_268,Retail,USA,4827,198.71,8.84,2014,2415,4.5,28-09-2025,North America
269,BuildWorks_269,Manufacturing,India,913,600.44,43.47,2011,6287,4.9,29-03-2025,Asia
270,MediCorp_270,Healthcare,Germany,2351,751.17,14.28,1993,59208,3.9,06-05-2024,Europe
271,FinTrust_271,Finance,Canada,198,394.98,35.26,2012,88919,3.9,05-02-2026,North America
272,TechNova_272,Technology,USA,1214,213.8,12.03,2004,15951,4.9,23-07-2024,North America
273,RetailHub_273,Retail,India,4775,54.74,6.51,1992,78674,2.5,28-03-2025,Asia
274,BuildWorks_274,Manufacturing,Germany,4079,240.33,20.59,2017,99406,1,04-02-2026,Europe
275,MediCorp_275,Healthcare,Canada,2915,928.81,13.46,2010,69440,2.9,15-06-2024,North America
276,FinTrust_276,Finance,USA,2218,87.83,27.86,1999,10788,3.5,09-01-2024,North America
277,TechNova_277,Technology,India,1754,920.62,6.12,2011,31198,1.4,06-07-2024,Asia
278,RetailHub_278,Retail,Germany,4071,150.04,35.65,2003,15730,4.8,04-08-2024,Europe
279,BuildWorks_279,Manufacturing,Canada,1227,553.57,38.52,2006,28322,1,30-12-2025,North America
280,MediCorp_280,Healthcare,USA,3146,785.52,26.88,2012,62758,4.6,16-06-2025,North America
281,FinTrust_281,Finance,India,2774,773.55,8.96,2016,71460,0.4,22-11-2024,Asia
